2025-09-19 00:06:56 | WARNING  | cloud_scheduler.scheduling.baseline:schedule_workload:107 | Could not schedule workload wl_batch_000062 - no suitable hosts
2025-09-19 00:06:56 | WARNING  | cloud_scheduler.scheduling.baseline:schedule_workload:107 | Could not schedule workload wl_batch_000063 - no suitable hosts
2025-09-19 00:06:56 | WARNING  | cloud_scheduler.scheduling.baseline:schedule_workload:107 | Could not schedule workload wl_batch_000064 - no suitable hosts
2025-09-19 00:06:56 | WARNING  | cloud_scheduler.scheduling.baseline:schedule_workload:107 | Could not schedule workload wl_batch_000065 - no suitable hosts
2025-09-19 00:06:56 | WARNING  | cloud_scheduler.scheduling.baseline:schedule_workload:107 | Could not schedule workload wl_batch_000066 - no suitable hosts
2025-09-19 00:06:56 | WARNING  | cloud_scheduler.scheduling.baseline:schedule_workload:107 | Could not schedule workload wl_batch_000067 - no suitable hosts
2025-09-19 00:06:56 | WARNING  | cloud_scheduler.scheduling.baseline:schedule_workload:107 | Could not schedule workload wl_batch_000068 - no suitable hosts
2025-09-19 00:06:56 | WARNING  | cloud_scheduler.scheduling.baseline:schedule_workload:107 | Could not schedule workload wl_batch_000069 - no suitable hosts
2025-09-19 00:06:56 | WARNING  | cloud_scheduler.scheduling.baseline:schedule_workload:107 | Could not schedule workload wl_batch_000070 - no suitable hosts
2025-09-19 00:06:57 | WARNING  | cloud_scheduler.scheduling.baseline:schedule_workload:107 | Could not schedule workload wl_batch_000071 - no suitable hosts
2025-09-19 00:06:57 | WARNING  | cloud_scheduler.scheduling.baseline:schedule_workload:107 | Could not schedule workload wl_batch_000072 - no suitable hosts
2025-09-19 00:06:57 | WARNING  | cloud_scheduler.scheduling.baseline:schedule_workload:107 | Could not schedule workload wl_batch_000073 - no suitable hosts
2025-09-19 00:06:57 | WARNING  | cloud_scheduler.scheduling.baseline:schedule_workload:107 | Could not schedule workload wl_batch_000074 - no suitable hosts
